SMILES,Tg,FFV,Tc,Density,Rg
*NC(=O)c1ccc(C(C)(C)c2ccc(C(=S)NC(*)=O)cc2)cc1,,,,,
*C(=O)NC1CCC(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)CC1,,,,,
*Sc1ccc(C(CC(=O)OC)c2ccc(OC(=O)CCCC(*)=O)cc2)c(C)c1,,,0.206606,1.128951,18.86971667
*CC(COc1cccc(C)c1)O*,,,0.205,1.060004557,
*/C=C(/*)CCCCOCCOc1ccc(OC)cc1,,,0.260466,1.03915,10.9784
*Nc1cc(-c2ccc(C#N)cc2)cc(*)c1OCC(CC)CCCCCCCCOc1ccc([Si](C)(C)C)cc1,,,,,
*c1cc(OCCCCCC)c(*)cc1OC,,,0.468,0.954754285,
*c1cccc2c(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cccc12,,,,,
*CCCNC(=O)CCc1ccc(-c2ccc(-c3ccc(-c4ccc(NC(=O)CCCCCCCCC(*)=O)cc4)cc3[N+](=O)[O-])cc2)cc1,,,,,
*CC(*)C(=O)OCCCOCCCCCCOC(=O)CCCCCCCCCCCC(C)C,,,0.275989,0.909502,13.282
*CCSC(=O)NC(C(=O)NCC(*)=O)c1cc(C(=O)O)ccc1C(C)(CO)CCl,,,0.17535,1.2445,16.86743333
*CCCCCCCOc1ccc(C(=O)Nc2ccc(-c3ccc(NC(=O)c4ccc(O*)cc4)c(Cl)c3)cc2Cl)cc1,,,,,
*CCCOC(=O)N1CCC(*)CC1,,,0.251,1.03405312,
*CC(*)C(=O)OCCCCCCOc1ccc(C(=O)OCCOc2ccc(C(=O)OCCN(c3ccccc3)c3ccccc3)cc2)cc1,,,0.251956,1.102369,16.38088333
*O[Si](C)(C)O[Si](C)(CCC)OCC(F)(F)C(*)(Cl)Cl,,,,,
*Oc1ccc(-c2ccc(C(=O)CNc3ccc(OCCCCCC)cc3)cc2)c(OC(=O)c2ccc(C(*)=O)cc2)c1,,,0.271593,1.113606,16.75988333
*CCCCCCNC(=O)NCCCc1ccccc1C(=O)O*,104.23000000000002,0.332,0.258806,1.069182,16.70346667
*CCOC(=O)NCCSCCCCCCSCCNC(=O)O*,,,,,
*CCCCCCCCCC(=O)NNC(=O)CCCCCCC*,,,0.30694,0.927324,25.1458667
*CCCSCCOCCCCOC(=O)Cc1ccccc1-c1ccccc1C(=O)O*,,,,1.112687,18.283
*Oc1ccc(OC(=O)CCCCCOP(=O)(O*)Oc2ccc(C)cc2)cc1,,,,,
*CCCCCOc1ccc(CCCNC(=O)CCCCCCCCC(=O)NCCCc2ccc(O*)cc2)cc1,,,,,
*CCOCCOc1ccc(-c2ccc(Oc3ccc(C(C)(C)c4ccc(O*)cc4)cc3)cc2)cc1,,,0.213414,1.076221,21.1224667
*CCCC(C)C(*)COC(=O)NCCCCCCCCCCCCCC,,,,,
*CC(*)C(=O)N(CCCCCCCC)C(=O)OC(C)OC,,,0.238691,0.957524,9.949098333
*CCCCCCCCC(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(=O)N*,,,0.184964,1.221936,22.3143333
*CC(C#C)(CCl)COC(=O)CCCCCCCCC(=O)O*,,,0.22705,1.044486,16.54395
*C#CCCOc1ccc(C(=O)Oc2ccc(C(=O)O*)cc2)cc1,,,,,
*NC(CC(=O)O)(CC(C)C)C(*)=O,,,,,
*c1ccc([Si](C)(C)[Si](C)(C)[Si](C)(C)[Si](C)(C)[Si](C)(C)[Si](*)(C)C)s1,,,,,
*CC(C)(C)COC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)c(C)c2)cc1C,,,0.217,1.042086727,
*CC(c1ccccc1)C1C(=O)N(CCCCCC)C(=O)C1*,,,,,
*CCOC(=O)c1ccc(NC(=O)CCCCCCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,,,,,
*C#C[Si](CCCC)(CCCC)[Si](*)(CCCC)CCCC,,,,,
*Oc1ccc(NC(=O)Nc2ccccc2-c2ccccc2C(=O)Nc2ccc(Cc3ccc(NC(=O)c4ccc(*)cc4)cc3)cc2)cc1,,,0.240637,1.12574,19.7392667
*CC(*)c1cc(C(=O)O)c(Br)cc1C,,,0.143413,1.422322,12.6906667
*Cc1ccc(COC(=O)c2cc(C)c(C(=O)O*)cc2C)cc1,,,,,
*/C=C/c1cc(OC(=O)CNc2ccccc2-c2ccc(NC(=O)CCCCC(*)=O)cc2)ccc1CO,,,0.230764,1.155441,17.85111667
*[Si](*)(CCCCC)CCCCCCCC,,,,,
*CC(=O)NNC(=O)c1ccc(Oc2ccc(C(=O)NNC(=O)CN3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,,,,,
*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Cc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,,,,,
*C(=O)C/C=C/C(=O)C(*)C,,,0.174742,1.05249,18.1669
*Cc1ccc(CSC(=O)CCCc2ccc(C(=O)N*)c(C)c2)cc1C(=O)O,,,0.198699,1.173249,21.8382
*SCC(C)(C)CC(*)CC,,,,,
*OC(=O)CNC(=O)/C=C/C(=O)NCc1ccc([Si](*)(C)CCCC)cc1,,,,,
*CCN(CCCC)C(=O)c1ccc(C(=O)N(*)CCCC)cc1,,,0.226,0.975750117,
*O[Si](*)(C)CCCCCCCC(=O)Oc1ccc(C(C)C)cc1,,,,,
*C(=O)Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(Oc8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)cc7)cc5)C6=O)cc4)cc3)cc2)cc1,,,,,
*O[Si](*)(C)CCCCCOc1cccc(OC(=O)c2ccc(OCc3ccccc3)cc2)c1,,,,,
*CCCCCCCCCCCCCCCCCCCCCCC(=O)c1ccc(-c2ccc([N-]C(=O)O*)cc2)cc1,,,,,
*/C(c1ccccc1)=c1\cc/c(=c2/cc/c(=C(/c3ccccc3)c3ccc(-c4ccc(*)s4)s3)s2)s1,,,,,
*CCC(C)CNC(=O)CCCCC(=O)Nc1ccccc1*,,,0.216183,1.032753,16.5109333
*Nc1cc(C(C)C)ccc1C(*)O[Si](C)(C)C,,,,,
*Nc1ccc(*)cc1C(C)C,,,0.26,0.91867277,
*c1ccc(C(=O)Nc2ccc(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C)c2)cc1F,,,0.170127,1.302506,21.40825
*c1cc(CCCCC[Si](C)(C)C)c(*)s1,,,,,
*NC(COC(=O)c1ccc(C(=O)O)c(C(*)=O)c1)c1ccc(OC)cc1,,,,,
*Oc1cc(OC)c(OCC(C)CCCCCCC(*)C)c(OC)c1O,,,0.253201,0.97575,19.6342667
*CCCCCCOc1ccc(-c2ccc(-c3ccc(OC(=O)C(C)C(C)(C)NC(=O)O*)cc3)cc2)cc1,,,0.263435,1.071273,20.0512333
*OC(OCCBr)C(*)(C)CC,,,0.11797,1.270817,16.1980833
*c1ccc(-c2ccc(-c3ccc(*)n3C)s2)s1,,,,,
*NC(=O)CNCCNC(=O)C(CCCCCC(=O)OCC)C(*)C(=O)OCCCCCCCCCC,,,0.254581,0.985195,12.89455
*CC(*)C(=O)c1ccc(OCC)cc1,,,0.197,1.043726218,
*CCCCC(=O)NNC(=O)CCCCC(=O)NCCCCCCNC(=O)C(=O)N*,,,0.269337,1.08775,25.1100333
*CCC(F)(Cl)C(*)(C(=O)O)c1ccc(-c2ccc(Cl)cc2)cc1,,,,,
*/C=C(/*)CCCOc1ccc(-c2ccc(CCCCC)cc2)cc1,,,0.352,0.976925232,
*CCC(=O)NNC(=O)NCCSSCCSCCNC(=O)N*,,,,1.281589,20.2787167
*/C=C/c1sc(-c2sc(*)c(OCCCC)c2OCCCC)c(OCCCC)c1OCCCC,,,,,
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(CCOC(=O)CCCCC(*)=O)cc1C#N,,,,,
*CCNC(=O)C(CCCCCCCCCCCCCCCC)C(=O)NCCCCCCNC(=O)Nc1ccc(*)cc1,,,,,
*c1ccc([Si](*)(C)[Si](C)(C)c2ccccc2)s1,,,,,
*O[Si](*)(C)CCCCC(=O)OCc1cc(OC)ccc1CCCCCCCCCCC,,,,,
*CCCCCCCCCCNC(=O)c1cccc(S(=O)(=O)c2ccc(C(=O)O*)cc2)c1,267.46000000000004,0.348,0.238524,1.121917,21.01275
*OC1CCC(C=C)CC1*,,,,,
*/C=C(/*)C(C)(C)C(=O)OCCCCCCOc1ccc(/N=C/c2ccc(C#N)cc2)cc1,,,,,
*N=P(*)(Oc1ccc(-c2ccccc2)cc1)OC(O)C(C)=O,,,,,
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(=O)CCCCC(=O)/C=C/c4ccc(*)cc4)cc3CCCC)cc2)cc1,,,,,
*c1ccc(Cc2ccc(N3C(=O)CC(C4C=C(C)C5C(=O)N(*)C(=O)C5C4)C3=O)cc2)cc1,,,,,
*C(=O)c1ccc(*c2ccc3c(c2)C(=O)N(c2cccc(N)c2)C3=O)cc1C(*)=O,,,,,
*N=P(*)(OCC(F)(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,,,,,
*CC(*)OCCOCCOCCOc1ccccc1C,,,0.230513,1.05462,11.58515
*CC(=O)NNCC(=O)NCCCNC(=O)C(O*)C(=O)OCCCS,,,0.223817,1.217759,17.0286167
*c1ccc(Oc2ccc3ccccc3c2-c2c(Oc3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3C(F)(F)F)ccc3ccccc23)c(C(F)(F)F)c1,,,,,
*CCCC(=O)NCCCCCCNC(=O)CCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,,,0.323,1.100589749,
*C#CC/C=C(/*)CCCOc1ccc(S(=O)(=O)c2ccc(OCCO)cc2)cc1,,,,,
*/C=C/C(C#C[Si](C)(C)OC)C[Si](*)(C)c1cccc(N(C)C)c1,,,,,
*CC(COc1ccc(*)cc1)COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,,,,,
*CC(*)C(=O)OCCN(CCCC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,
*CC(O)COC(C/C=C/C(OCC(O)COC(c1cccc(C(O*)(C(F)(F)F)C(F)(F)F)c1)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,,,0.087,1.457053241,
*O[Si](C)(C)O[Si](C)(C)C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1cc(C(C)C)c(*)cc1CCCc1ccccc1,,,,,
*CCOc1c(C)cc(Cc2cc(OC)c(O*)c(OC)c2OC)cc1OC(C)(CC)CC(C)C,,,0.189581,0.979828,15.46418333
*C/C=C/C(CCCCCCCC)CC(C*)SSC,,,,,
*C(=N)NCC1CCCN(*)CC1,,,,,
*CC(*)C(=O)N(O)c1cccc(C)c1,,,0.18,1.087541889,
*CCCCCCCCCCNC(=O)/C(C)=C(\C)C(=O)N*,,,,,
*CC(*)Cc1ccc(C)c(C)c1,,,0.19,0.918698701,
*CC(F)(F)C(F)(F)C(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)CCCCC(=O)O*,,,0.145081,1.428883,18.32036667
*CC(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(*)c(C(C)(C)C)c4)cc3C(=O)O)cc2)cc1,,,,1.115704,23.9085833
*CCOC(=O)CCCCC(=O)OCCOC(=O)c1cccc(C(=O)O*)c1,,,0.205667,1.16147,19.63355
*Oc1ccc(C(O)CC(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1-c1ccc(OC(C)(C)C)cc1,,,0.211972,1.020624,20.68021667
*CCCCCCNC(=O)CCCCCCCCCC(=O)NCCC(C)CC(C)[Si](*)(C)C,,,,,
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1CCCCCCCC,,,,,
*CCCCOc1ccc(CCCNC(=O)CCCCC(=O)NCCCc2ccc(O*)cc2)cc1,,,,,
*Oc1ccc(Cc2ccc(/N=N/c3ccc(OCCCCCCOc4cccc(*)c4-c4ccccc4)cc3)cc2)cc1,,,,,
*/C=C/C(C/C=C/C(*)=O)C(Cl)C(=O)OCCCCCCCCCC,,,0.248569,0.971328,13.1209333
*CC(OC)C(*)C(=O)OCCCCCCCSCCCC,,,0.246878,0.959347,11.77085
*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O*,,,,,
*CC(COC(=O)CCCCCCCCCCCCCC(=O)O*)C(=O)OCC,169.24,0.353,0.277647,0.965265,19.3622333
*CCCCOC(=O)c1ccc(C(=O)NC(COC(=O)CCCCCCCCCOc2ccc(O*)cc2)OC)cc1,,,0.25776,1.06125,21.95805
*Nc1ccc(Sc2cc(OC)c(*)cc2-c2ccccc2)cc1,,,0.1798,1.144564,15.00591667
*CC(*)c1ccccc1NCc1ccccc1,,,,,
*CCCCCCOC(=O)c1cccc(*)c1Br,,,0.202228,1.30262,18.92695
*CC(=O)COCCOC(=O)COC(=O)CCCCCCCCC(=O)O*,,,0.259353,1.08406,23.3624167
*C#C[Si](C)(C)CCOC(=O)CCCCC(=O)O*,,,,,
*CCNC(=O)CCC(C)NC(=O)C(O)CC(O)C(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,171.10000000000002,0.327,0.240743,1.073818,20.4177167
*CCS/C(=N\CC)S*,,,,,
*CCCCOCCCCCCCC(=O)Oc1ccc(O*)cc1,,,0.289292,1.015472,19.40855
*Oc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1-c1ccc(CCNCCCCCCCC)cc1,,,0.340541,1.066736,21.7033167
*Cc1ccc(CCN(*)CC(C)C)cn1,,,,0.491274,
*OC(=O)c1ccccc1C(=O)OC(=O)c1ccccc1N(*)Cc1ccccc1,,,,,
*C1=CC2C(=O)N(c3ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)C(=O)C2C=C1,,,,,
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)cc1,,,,,
*Oc1cc(OC)c(NC(=O)c2cc(C)c(OCCOCCOCCOCCOC)c(*)c2C)cc1OC,,,0.26337,1.105239,15.6420833
*CCOCCOc1ccc(/C=C/c2ccc(OCCCCCCOc3ccc(NC(=O)c4cccc(C(=O)Oc5ccc(O*)cc5)c4)cc3)cc2)cc1C(=O)Nc1ccccc1C,,,,,
*CCCCCCCCOC(=O)CC(C=C)C[PH](*)=C,,,,,
*C(C(=O)OC(C)C)C(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,,,,,
*C(=O)CC(Cl)C(=O)C(*)Cl,,,0.142653,1.434471,17.81148333
*CCOCCOCCOC(=O)c1ccc([Si](C)(C)c2ccc(C(C)(C)c3ccc(C(=O)O*)cc3)cc2)nc1,,,,,
*CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCS*,,,,,
*CC(*)C(=O)N(O)c1cccc(Cl)c1,,,,,
*CC(=O)NNC(=O)c1ccc(-c2ccc(C(=O)NNC(=O)COc3ccc(/C=C4\CC/C(=C\c5ccc(O*)cc5)C4=O)cc3)cc2)cc1,,,,,
*C(=O)c1ccc([Si](C)(C)c2ccc(C(*)=O)cc2)cc1,,,,,
*CCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCOc3ccc(O*)cc3-c3ccccc3)cc2)cc1,,,0.268809,1.056466,21.36075
*Oc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(Oc4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1C(C)(C)C,,,,,
*CCC1CCC(CC(C)(C)C)C1*,,,,,
*O[Si](OC(C)=O)OC(=O)c1ccc(C(*)=O)cc1OC,,,,,
*CCc1ccc(CN(*)CCC)cc1,,,,,
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1CC#N,,,,,
*c1cc(-c2ccc(OCCCCCCCCCCS(=O)(=O)O)c(S(*)(=O)=O)c2)ccc1OCCCCCCCCCCS(=O)(=O)O,,,0.363,1.139516573,
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(C(C)(C)c4ccccc4)cc3)cc2)cc1,,,,0.567365,
*CCCC(C)CC(=O)N*,,,,,
*O[Si](*)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)(F)C(F)(F)C(F)(F)C(F)F,,,,,
*CC(*)(CC(=O)OCC(CC)CC)C(=O)OCCCCCCCCCCCCCCOC(=O)c1ccc(OC)cc1,,,0.277789,0.970671,12.14648333
*Oc1ccc(OC(=O)Oc2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1C(=O)OCCCCCCCC,,,0.319614,1.121652,28.03445
*SC(=O)/C=C/C(=O)Nc1ccc(Cc2ccccc2-c2ccc(C(*)=O)cc2)cn1,,,0.200641,1.146469,22.06501667
*c1ccc(S(=O)(=O)C(CCCC)[Si](*)(C)O[Si](C)(C)O[Si](C)(C)C)cc1,,,,,
*CCC(C)NC(=O)CCCCC(=O)NC(C=C)N*,,,0.229118,1.015128,16.4521
*c1ccc(Cc2ccc(-c3csc(-c4nc(*)cs4)n3)cc2)cc1,,,,,
*CCCCCCCOC(=O)c1ccc(C(=O)NCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,,,,,
*/C=C(\C)C(C)C(C)C(*)=O,,,,,
*CC(OC(C)=O)C(OC)C(*)C(=O)OCCN(C)C,,,0.201831,1.020035,13.9515
*NC(=S)NS(*)=O,,,,,
*CCCCCCCCCCOC(=O)c1ccc(C(=O)NNC(=O)CCCCc2ccc(O*)cc2)cc1,,,,1.038622,23.13855
*C(=O)Nc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)c2)cc1,,,,,
*Oc1ccc(CCNC(=O)c2ccc(C(=O)OC(*)=O)cc2)cc1,260.34000000000003,,0.30157,1.200577,25.31731667
*c1ccc(OCCCC[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CCCCOc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,,,
*CCCCOC(=O)CCCCCCCCC(=O)OCCCCOC(=O)c1ccc(C(=O)O*)cc1,,,0.245,1.050488285,
*CCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,,,,,
*CCCCCCNC(=O)c1cc(OC(=O)/C=C/c2ccccc2)cc(C(=O)N*)c1,,,,,
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2C(F)(F)F)c(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,218.44,0.355,0.162946,1.292135,24.1957
*/C=C(/*)COc1ccc(C(=O)Oc2ccc(-c3ccccc3)cc2)cc1,,,0.290864,1.098552,13.883
*Oc1ccc(C(=O)c2ccccc2Sc2ccc(Oc3cccc(NC(*)=O)c3)cc2)cc1,,,0.194875,1.189385,18.1806333
*c1cc(-c2nc3cc4[nH]c(*)nc4cc3[nH]2)cc(S(=O)(=O)O)c1,,,,,
*Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cccc(C(*)=O)c4)c(Br)c3)C3C=CC=CC3C3C=CC=CC32)cc1Br,,,,1.408496197,
*OC(=O)CC(CCCCCCCCCC)N(*)CCCCc1ccccc1,,,,,
*Nc1ccc(C(=O)OCCCCCCCCCCCCCCOC(=O)CCCCCCCCCC(=O)OCC(*)C#N)cc1,,,0.250486,0.984257,21.9322833
*CC(*)(CCC(C)C)C(C)OC,,,0.134088,0.777211,12.6757
*N=P(*)(Oc1ccc(Br)cc1)Oc1ccc(OC(F)(F)F)cc1,259.03,0.383,,,
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCC(*)=O)cc2)cc1,,,0.238,1.048800246,
*CCCCCCCCCCOC(=O)CCCCCCCC(=O)OCCCC(=O)O*,2.4600000000000364,,0.270354,0.959161,20.21266667
*C#CC#CC#CCNC(=O)c1cccc(C(=O)N*)c1,,,,,
*Oc1ccc(-c2ccc(OC(=O)c3ccc(C(*)=O)cc3)c(OC(C)=O)c2)cc1,270.88,0.343,0.485103,1.188567,32.1298167
*C(=O)CC/C=C/C(=O)CCCCC(*)=O,,,0.22969,1.050531,16.78128333
*CCCCCOc1ccc(C(=O)OCCOC(=O)c2cccc(C(=O)OC(=O)c3ccc(O*)c(C)c3)c2)cc1,149.36,,0.222685,1.142405,18.97316667
*C1C=CC(C(*)(C)C)=C1,,,,,
*CC(CCCCCCCCCCCCCOC(=O)O*)c1ccc(C(=O)OCC)cc1,,,0.277967,0.970055,18.2546833
*CCCCC(=O)NNC(=O)NCCOCC(=O)NCC(CNC(=O)O*)OC(=O)CCCCC(=O)O,,,0.251347,1.178632,15.9150833
*CCCOC(=O)NC1CC1NC(=O)O*,,,,,
*c1ccc(*)n1CC(=O)NO,,,,,
*O[Si](*)(C)CCCCC#COc1ccc(-c2ccc(OC)cc2)cc1,,,,,
*Oc1ccc(NC(=O)NCCCCCCNC(*)=O)c(C)c1,,,0.326,1.101720701,
*CC(*)(C)C(=O)OCC[N+](CCCC)OCCCCCC,-86.64999999999998,0.414,0.231379,0.901885,10.1268667
*C(=O)CCCCCC(=O)SCSC(=O)c1ccc(*)cc1,,,0.218103,1.187581,21.92915
*OCC(*)OC(=O)OCC(C)(C)C,86.39000000000004,,0.206075,1.007137,10.89765167
*CC(*)c1ccc(C(CCCC)(CCCC)OCC)cc1,,,,,
*CC(*)[Si](C)(C)c1ccccc1,,,,,
*CCCCCCNC(=O)CCCCCC(=O)NCCCCCCNC(=O)C(=O)N*,,,,,
*Nc1ccc(*)cc1-c1ccccc1,,,0.298,1.056212184,
